title;fen;gif;link
Rapport's Gift;3r1r2/4N1kp/p3Q1PB/q2P4/1p6/3n4/1P3P1P/7K b - - 2 27;M3IxcjIvNE4xa3AvcDNRMVAxL3EyUDJ;https://www.chess.com/analysis?fen=3r1r2/4N1kp/p3Q1P1/q2P2B1/1p6/3n4/1P3P1P/7K%20w%20-%20-%201%2027&flip=false&pgn=%5BEvent%20%22TCh-AUT%202010-11%22%5D%0A%5BSite%20%22Graz%20AUT%22%5D%0A%5BDate%20%222010.11.19%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Richard%20Rapport%22%5D%0A%5BBlack%20%22Davor%20Rogic%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%223r1r2/4N1kp/p3Q1P1/q2P2B1/1p6/3n4/1P3P1P/7K%20w%20-%20-%201%2027%22%5D%0A%0A27.%20Bh6%2B%20Kxh6%2028.%20gxh7%2B%20Kg5%2029.%20Qg6%2B%20Kf4%2030.%20Qg3%2B%20Ke4%2031.%20Qe3%23%201-0
Hidden Potential;3rR1k1/1p4p1/p6p/2q2p2/8/PP3PP1/Q5KP/8 b - - 1 1;M3IyazEvMXA0cDEvcDZwLzJxMnAyLz;https://www.chess.com/analysis?fen=3r2k1/1p4p1/p6p/2q2p2/8/PP3PP1/Q5KP/4R3%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%223r2k1/1p4p1/p6p/2q2p2/8/PP3PP1/Q5KP/4R3%20w%20-%20-%200%201%22%5D%0A%0A1.%20Re8%2B%20Rxe8%202.%20b4%2B%20Kh7%203.%20bxc5%20*
Pawn Endgame Suspense;8/8/4p3/3p2p1/1Pk5/2P4P/3K4/8 w - - 0 2;OC84LzRwMnAvM3AyUDEvMVBrNS8y;https://www.chess.com/analysis?fen=8/8/4p2p/3p2P1/1Pk5/2P4P/3K4/8%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/8/4p2p/3p2P1/1Pk5/2P4P/3K4/8%20b%20-%20-%200%201%22%5D%0A%0A1...%20hxg5%202.%20Ke2%20e5%203.%20Kd2%20d4%204.%20cxd4%20exd4%205.%20Kc2%20Kxb4%20*
Tarrasch's Fingerprints;5rk1/p6p/8/B1pPK1pP/4P3/1PQ5/P5q1/2RR1b2 b - - 0 1;NXJrMS9wNnAvOC9CMXBQSzFwUC8;https://www.chess.com/analysis?fen=5rk1/p6p/8/B1pPK1pP/4P3/1PQ5/P5q1/2RR1b2%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%225rk1/p6p/8/B1pPK1pP/4P3/1PQ5/P5q1/2RR1b2%20b%20-%20-%200%201%22%5D%0A%0A1...%20Qh2%2B%202.%20Ke6%20Re8%2B%203.%20Kd7%20Bb5%23%200-1
Safety Dance;5rk1/p4pp1/4r2p/8/8/2P5/P1PQqPPP/2KRR3 b - - 0 1;NXJrMS9wNHBwMS80cjJwLzgvOC8yU;https://www.chess.com/analysis?fen=5rk1/p4pp1/4r2p/8/8/2P5/P1PQqPPP/2KRR3%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%225rk1/p4pp1/4r2p/8/8/2P5/P1PQqPPP/2KRR3%20b%20-%20-%200%201%22%5D%0A%0A1...%20Qa6%202.%20Qd5%20Qa3%2B%203.%20Kd2%20Rd6%204.%20Qxd6%20Qxd6%2B%20*
Early and Often;r2q1r2/6k1/2Q2p2/3p2p1/p1bP4/P3P1P1/5PPR/R3K3 w Q - 0 1;cjJxMXIyLzZrMS8yUTJwMi8zcDJwMS9;https://www.chess.com/analysis?fen=r2q1r2/6k1/2Q2p2/3p2p1/p1bP4/P3P1P1/5PPR/R3K3%20w%20Q%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r2q1r2/6k1/2Q2p2/3p2p1/p1bP4/P3P1P1/5PPR/R3K3%20w%20Q%20-%200%201%22%5D%0A%0A1.%20Qb7%2B%20Rf7%202.%20Rh7%2B%20Kxh7%203.%20Qxf7%2B%20Kh8%204.%20O-O-O%20Bd3%205.%20Rh1%2B%20*
Vulnerable Pieces;4nk1r/1bq2pp1/p4p2/1p6/7P/PNN3Q1/1PP3P1/2KR4 w - - 0 1;NG5rMXIvMWJxMnBwMS9wNHAyLzF;https://www.chess.com/analysis?fen=4nk1r/1bq2pp1/p4p2/1p6/7P/PNN3Q1/1PP3P1/2KR4%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%224nk1r/1bq2pp1/p4p2/1p6/7P/PNN3Q1/1PP3P1/2KR4%20w%20-%20-%200%201%22%5D%0A%0A1.%20Qxc7%20Nxc7%202.%20Rd7%20Bxg2%203.%20Rxc7%201-0
Grandmaster Gaprindashvili's Birthday Bash;2b2r2/p5pk/1p1r1bpp/8/3N4/1BP5/PP4PP/3RR1K1 w - - 0 28;MmIycjIvcDVway8xcDFyMWJwcC84Lz;https://www.chess.com/analysis?fen=2b2r2/p5pk/1p1r1bpp/8/3N4/1BP5/PP4PP/3RR1K1%20w%20-%20-%200%2028&flip=false&pgn=%5BEvent%20%22It%20%5C%5C%5C%22Hoogovens%5C%5C%5C%22%20%28b%29%22%5D%0A%5BSite%20%22Beverwijk%20%28Netherlands%29%22%5D%0A%5BDate%20%221966.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Nona%20Gaprindashvili%22%5D%0A%5BBlack%20%22Haije%20J%20Kramer%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222b2r2/p5pk/1p1r1bpp/8/3N4/1BP5/PP4PP/3RR1K1%20w%20-%20-%200%2028%22%5D%0A%0A28.%20Ne6%20Bxe6%2029.%20Rxd6%201-0
May the Fork be with You;2r1kbnr/1p3ppp/pq2p3/4Pb2/1n1P2PP/2N2P2/PP2N3/R1BQKB1R b KQk - 0 1;MnIxa2Juci8xcDNwcHAvcHEycDMvNF;https://www.chess.com/analysis?fen=2r1kbnr/1p3ppp/pq2p3/4Pb2/1n1P2PP/2N2P2/PP2N3/R1BQKB1R%20b%20KQk%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222r1kbnr/1p3ppp/pq2p3/4Pb2/1n1P2PP/2N2P2/PP2N3/R1BQKB1R%20b%20KQk%20-%200%201%22%5D%0A%0A1...%20Bc2%202.%20Qd2%20Nd3%2B%203.%20Qxd3%20Bxd3%20*
Spielmann Turns Out the Lights;r3nrkq/pp3p1p/2p3nQ/5NN1/8/3BP3/PPP3PP/2KR4 w - - 3 22;cjNucmtxL3BwM3AxcC8ycDNuUS81Tk;https://www.chess.com/analysis?fen=r3nrkq/pp3p1p/2p3nQ/5NN1/8/3BP3/PPP3PP/2KR4%20w%20-%20-%203%2022&flip=false&pgn=%5BEvent%20%22It%22%5D%0A%5BSite%20%22Munich%20%28Germany%29%22%5D%0A%5BDate%20%221909.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Rudolf%20Spielmann%22%5D%0A%5BBlack%20%22Savielly%20Tartakower%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r3nrkq/pp3p1p/2p3nQ/5NN1/8/3BP3/PPP3PP/2KR4%20w%20-%20-%203%2022%22%5D%0A%0A22.%20Ne7%2B%20Nxe7%2023.%20Bxh7%2B%20Qxh7%2024.%20Qxh7%23%201-0
Exploring Light and Dark Square Signals;4Qbk1/p1q2pp1/1r1p4/2pB2Bp/2Pp1P2/4n1PP/PP2P3/3R2K1 w - - 0 1;NFFiazEvcDFxMnBwMS8xcjFwNC8ycEI;https://www.chess.com/analysis?fen=4Qbk1/p1q2pp1/1r1p4/2pB2Bp/2Pp1P2/4n1PP/PP2P3/3R2K1%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%224Qbk1/p1q2pp1/1r1p4/2pB2Bp/2Pp1P2/4n1PP/PP2P3/3R2K1%20w%20-%20-%200%201%22%5D%0A%0A1.%20Bd8%20Rb8%202.%20Qxf8%2B%20Kxf8%203.%20Bxc7%20*
Overcoming Absolute Thinking;;r2r3k/1Q5p/p1p4p/3q4/5R2/8/PPP1B1PP/7K b - - 0 1;cjJyM2svMVE1cC9wMXA0cC8zcTQvN;https://www.chess.com/analysis?fen=r2r3k/1Q5p/p1p4p/3q4/5R2/8/PPP1B1PP/7K%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r2r3k/1Q5p/p1p4p/3q4/5R2/8/PPP1B1PP/7K%20b%20-%20-%200%201%22%5D%0A%0A1...%20Qd1%2B%202.%20Bf1%20Rf8%203.%20h3%20Rxf4%204.%20Qxa8%2B%20Kg7%205.%20Qb7%2B%20Rf7%20*
Finding a Weak Point in the Defense;R7/1rrq1pbk/5p1p/3N1P1Q/2BpP3/2p3P1/6KP/8 w - - 0 1;UjcvMXJycTFwYmsvNXAxcC8zTjFQMV;https://www.chess.com/analysis?fen=R7/1rrq1pbk/5p1p/3N1P1Q/2BpP3/2p3P1/6KP/8%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22R7/1rrq1pbk/5p1p/3N1P1Q/2BpP3/2p3P1/6KP/8%20w%20-%20-%200%201%22%5D%0A%0A1.%20Qg6%2B%20fxg6%202.%20fxg6%2B%20Kxg6%203.%20Nf4%2B%20Kg5%204.%20h4%2B%20Kg4%205.%20Be2%23%201-0
Duras' Day;5bk1/2p3p1/5p1p/1pB5/4N3/1r3R2/5PKP/8 b - - 1 38;NWJrMS8ycDNwMS81cDFwLzFwQjUv;https://www.chess.com/analysis?fen=5bk1/2p3p1/5p1p/1pB5/4N3/1r3R2/5PKP/8%20b%20-%20-%201%2038&flip=true&pgn=%5BEvent%20%22It%22%5D%0A%5BSite%20%22Hilversum%20%28Netherlands%29%22%5D%0A%5BDate%20%221903.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Rudolf%20Johannes%20Loman%22%5D%0A%5BBlack%20%22Oldrich%20Duras%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%225bk1/2p3p1/5p1p/1pB5/4N3/1r3R2/5PKP/8%20b%20-%20-%201%2038%22%5D%0A%0A38...%20Rxf3%2039.%20Kxf3%20f5%2040.%20Nc3%20Bxc5%200-1
Tarrasch Captures Your Attention;r4rk1/2pqbppp/p1n1b3/1p1pP3/3Nn3/1BP5/PP3PPP/RNBQR1K1 w - - 5 12;cjRyazEvMnBxYnBwcC9wMW4xYjMvM;https://www.chess.com/analysis?fen=r4rk1/2pqbppp/p1n1b3/1p1pP3/3Nn3/1BP5/PP3PPP/RNBQR1K1%20w%20-%20-%205%2012&flip=false&pgn=%5BEvent%20%22Frankfurt%22%5D%0A%5BSite%20%22Frankfurt%20am%20Main%20GER%22%5D%0A%5BDate%20%221887.08.01%22%5D%0A%5BRound%20%2220%22%5D%0A%5BWhite%20%22Siegbert%20Tarrasch%22%5D%0A%5BBlack%20%22Johannes%20Zukertort%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r4rk1/2pqbppp/p1n1b3/1p1pP3/3Nn3/1BP5/PP3PPP/RNBQR1K1%20w%20-%20-%205%2012%22%5D%0A%0A12.%20Nxe6%20fxe6%2013.%20Rxe4%201-0
Liquid Square;8/5p2/4p3/3q1kp1/P1R5/1B6/5P2/6K1 w - - 0 1;OC81cDIvNHAzLzNxMWtwMS9QMVI1;https://www.chess.com/analysis?fen=8/5p2/4p3/3q1kp1/P1R5/1B6/5P2/6K1%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/5p2/4p3/3q1kp1/P1R5/1B6/5P2/6K1%20w%20-%20-%200%201%22%5D%0A%0A1.%20Rf4%2B%20Kxf4%202.%20Bxd5%20exd5%203.%20a5%20Ke5%204.%20a6%20Kd6%205.%20a7%20*
The Launch of the Green Pawn;6k1/1p3p2/p2prPq1/8/7p/2Q5/PP3RP1/6K1 w - - 0 66;NmsxLzFwM3AyL3AycHJQcTEvOC83c;https://www.chess.com/analysis?fen=6k1/1p3p2/p2prPq1/8/7p/2Q5/PP3RP1/6K1%20w%20-%20-%200%2066&flip=false&pgn=%5BEvent%20%22Palma%20de%20Mallorca%22%5D%0A%5BSite%20%22Palma%20ESP%22%5D%0A%5BDate%20%221969.11.23%22%5D%0A%5BRound%20%222%22%5D%0A%5BWhite%20%22Boris%20Spassky%22%5D%0A%5BBlack%20%22Bent%20Larsen%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%226k1/1p3p2/p2prPq1/8/7p/2Q5/PP3RP1/6K1%20w%20-%20-%200%2066%22%5D%0A%5BECO%20%22C60%22%5D%0A%5BEventDate%20%221969.11.22%22%5D%0A%5BPlyCount%20%22133%22%5D%0A%0A66.%20Qc8%2B%20Kh7%2067.%20Qxe6%20fxe6%2068.%20f7%20Qg7%2069.%20f8%3DQ%201-0
Bringing It All Together;r2q3k/7p/1bpp1p2/pp2p3/4P3/PB2BP1b/1PP2P1P/R2Q1RK1 b - - 0 1;cjJxM2svN3AvMWJwcDFwMi9wcDJwM;https://www.chess.com/analysis?fen=r2q3k/7p/1bpp1p2/pp2p3/4P3/PB2BP1b/1PP2P1P/R2Q1RK1%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r2q3k/7p/1bpp1p2/pp2p3/4P3/PB2BP1b/1PP2P1P/R2Q1RK1%20b%20-%20-%200%201%22%5D%0A%0A1...%20Qg8%2B%202.%20Bxg8%20Rxg8%2B%203.%20Kh1%20Bg2%2B%204.%20Kg1%20Bxf3%2B%205.%20Bg5%20Rxg5%23%200-1
A Delicate Touch;4Q3/ppk4r/2p5/7r/P2q1p2/1P3P1P/2P3P1/4RR1K b - - 0 1;NFEzL3BwazRyLzJwNS83ci9QMnExcDIv;https://www.chess.com/analysis?fen=4Q3/ppk4r/2p5/7r/P2q1p2/1P3P1P/2P3P1/4RR1K%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%224Q3/ppk4r/2p5/7r/P2q1p2/1P3P1P/2P3P1/4RR1K%20b%20-%20-%200%201%22%5D%0A%0A1...%20Rxh3%2B%202.%20gxh3%20Rxh3%2B%203.%20Kg2%20Qg7%2B%204.%20Kxh3%20Qg3%23%200-1
